nombre,region,url,sitio_vivo,tiene_rss,feed_url
Antofacity,Antofagasta,https://www.antofacity.com,True,True,https://www.antofacity.com/feed
El Diario de Antofagasta,Antofagasta,https://www.diarioantofagasta.cl,True,True,https://www.diarioantofagasta.cl/feed
En La Linea,Antofagasta,https://www.enlalinea.cl,True,True,https://www.enlalinea.cl/feed
Región 2,Antofagasta,https://www.region2.cl,True,True,https://www.region2.cl/feed
Timeline,Antofagasta,https://www.timeline.cl,True,True,https://www.timeline.cl/feed
Clave 9,Araucanía,https://www.clave9.cl,True,True,https://www.clave9.cl/feed
Diario El Cautín,Araucanía,https://www.diarioelcautin.cl,True,True,https://www.diarioelcautin.cl/feed
El Periodico,Araucanía,https://www.elperiodico.cl,True,True,https://www.elperiodico.cl/feed
Noticias del Sur,Araucanía,https://www.noticiasdelsur.cl,True,True,https://www.noticiasdelsur.cl/feed
Temuco Diario,Araucanía,https://www.temucodiario.cl,True,True,https://www.temucodiario.cl/feed
Tiempo 21,Araucanía,https://www.tiempo21.cl,True,True,https://www.tiempo21.cl/feed
Arica City,Arica y Parinacota,https://www.aricacity.cl,True,True,https://www.aricacity.cl/feed
Arica Mía,Arica y Parinacota,https://www.aricamia.cl,False,False,
Arica al Día,Arica y Parinacota,https://www.aricaldia.cl,True,True,https://www.aricaldia.cl/feed/
Deportes Arica,Arica y Parinacota,https://deportesarica.cl,True,True,https://deportesarica.cl/feed
Diario El Morro,Arica y Parinacota,https://elmorrodearica.cl,True,True,https://elmorrodearica.cl/feed/
Radio Siente,Arica y Parinacota,https://www.radiosiente.com,True,True,https://www.radiosiente.com/feed
Atacama Noticias,Atacama,https://www.atacamanoticias.cl,True,True,https://www.atacamanoticias.cl/feed/
Chañarcillo,Atacama,https://www.chanarcillo.cl,True,True,https://www.chanarcillo.cl/feed/
El Noticiero del Huasco,Atacama,https://elnoticierodelhuasco.cl,True,True,https://elnoticierodelhuasco.cl/feed/
El Tierramarillano,Atacama,https://www.tierramarillano.cl,True,True,https://tierramarillano.cl/feed/
Enfoque Digital,Atacama,https://www.enfoquedigital.cl,True,True,https://www.enfoquedigital.cl/feed
Vallenar Digital,Atacama,https://www.vallenardigital.cl,True,True,https://www.vallenardigital.cl/feed
Canal Sur Patagonia,Aysén,https://www.canalsurpatagonia.cl,True,True,https://www.canalsurpatagonia.cl/feed/
Radio Genial,Aysén,https://radiogenial.cl,True,True,https://radiogenial.cl/feed/
Radio Las Nieves,Aysén,https://www.rln.cl,True,True,https://www.rln.cl/feed/
Radio Patagonia,Aysén,http://www.radiopatagonia.cl,True,False,
Radio Santa María,Aysén,https://www.radiosantamaria.cl,True,True,https://www.radiosantamaria.cl/feed/
